beta,gamma,delta,gait
-0.038,-0.038,-0.038,Walk
-0.034,-0.038,-0.038,Walk
-0.03,-0.038,-0.038,Walk
-0.026,-0.038,-0.038,Walk
-0.022,-0.038,-0.038,Walk
-0.018,-0.038,-0.038,Pace
-0.014,-0.038,-0.038,Pace
-0.01,-0.038,-0.038,Pace
-0.006,-0.038,-0.038,Pace
-0.002,-0.038,-0.038,Pace
0.002,-0.038,-0.038,Pace
0.006,-0.038,-0.038,Pace
0.01,-0.038,-0.038,Pace
-0.038,-0.034,-0.038,Walk
-0.034,-0.034,-0.038,Walk
-0.03,-0.034,-0.038,Walk
-0.026,-0.034,-0.038,Walk
-0.022,-0.034,-0.038,Walk
-0.018,-0.034,-0.038,Walk
-0.014,-0.034,-0.038,Pace
-0.01,-0.034,-0.038,Pace
-0.006,-0.034,-0.038,Pace
-0.002,-0.034,-0.038,Pace
0.002,-0.034,-0.038,Pace
0.006,-0.034,-0.038,Pace
0.01,-0.034,-0.038,Pace
-0.038,-0.03,-0.038,Walk
-0.034,-0.03,-0.038,Walk
-0.03,-0.03,-0.038,Walk
-0.026,-0.03,-0.038,Walk
-0.022,-0.03,-0.038,Walk
-0.018,-0.03,-0.038,Walk
-0.014,-0.03,-0.038,Pace
-0.01,-0.03,-0.038,Pace
-0.006,-0.03,-0.038,Pace
-0.002,-0.03,-0.038,Pace
0.002,-0.03,-0.038,Pace
0.006,-0.03,-0.038,Pace
0.01,-0.03,-0.038,Pace
-0.038,-0.026,-0.038,Walk
-0.034,-0.026,-0.038,Walk
-0.03,-0.026,-0.038,Walk
-0.026,-0.026,-0.038,Walk
-0.022,-0.026,-0.038,Walk
-0.018,-0.026,-0.038,Walk
-0.014,-0.026,-0.038,Walk
-0.01,-0.026,-0.038,Pace
-0.006,-0.026,-0.038,Pace
-0.002,-0.026,-0.038,Pace
0.002,-0.026,-0.038,Pace
0.006,-0.026,-0.038,Pace
0.01,-0.026,-0.038,Pace
-0.038,-0.022,-0.038,Walk
-0.034,-0.022,-0.038,Walk
-0.03,-0.022,-0.038,Walk
-0.026,-0.022,-0.038,Walk
-0.022,-0.022,-0.038,Walk
-0.018,-0.022,-0.038,Walk
-0.014,-0.022,-0.038,Walk
-0.01,-0.022,-0.038,Pace
-0.006,-0.022,-0.038,Pace
-0.002,-0.022,-0.038,Pace
0.002,-0.022,-0.038,Pace
0.006,-0.022,-0.038,Pace
0.01,-0.022,-0.038,Pace
-0.038,-0.018,-0.038,Walk
-0.034,-0.018,-0.038,Walk
-0.03,-0.018,-0.038,Walk
-0.026,-0.018,-0.038,Walk
-0.022,-0.018,-0.038,Walk
-0.018,-0.018,-0.038,Walk
-0.014,-0.018,-0.038,Walk
-0.01,-0.018,-0.038,Pace
-0.006,-0.018,-0.038,Pace
-0.002,-0.018,-0.038,Pace
0.002,-0.018,-0.038,Pace
0.006,-0.018,-0.038,Pace
0.01,-0.018,-0.038,Pace
-0.038,-0.014,-0.038,Walk
-0.034,-0.014,-0.038,Walk
-0.03,-0.014,-0.038,Walk
-0.026,-0.014,-0.038,Walk
-0.022,-0.014,-0.038,Walk
-0.018,-0.014,-0.038,Walk
-0.014,-0.014,-0.038,Walk
-0.01,-0.014,-0.038,Walk
-0.006,-0.014,-0.038,Pace
-0.002,-0.014,-0.038,Pace
0.002,-0.014,-0.038,Pace
0.006,-0.014,-0.038,Pace
0.01,-0.014,-0.038,Pace
-0.038,-0.01,-0.038,Walk
-0.034,-0.01,-0.038,Walk
-0.03,-0.01,-0.038,Walk
-0.026,-0.01,-0.038,Walk
-0.022,-0.01,-0.038,Walk
-0.018,-0.01,-0.038,Walk
-0.014,-0.01,-0.038,Walk
-0.01,-0.01,-0.038,Walk
-0.006,-0.01,-0.038,Pace
-0.002,-0.01,-0.038,Pace
0.002,-0.01,-0.038,Pace
0.006,-0.01,-0.038,Pace
0.01,-0.01,-0.038,Pace
-0.038,-0.006,-0.038,Walk
-0.034,-0.006,-0.038,Walk
-0.03,-0.006,-0.038,Walk
-0.026,-0.006,-0.038,Walk
-0.022,-0.006,-0.038,Walk
-0.018,-0.006,-0.038,Walk
-0.014,-0.006,-0.038,Walk
-0.01,-0.006,-0.038,Walk
-0.006,-0.006,-0.038,Walk
-0.002,-0.006,-0.038,Pace
0.002,-0.006,-0.038,Pace
0.006,-0.006,-0.038,Pace
0.01,-0.006,-0.038,Pace
-0.038,-0.002,-0.038,Walk
-0.034,-0.002,-0.038,Walk
-0.03,-0.002,-0.038,Walk
-0.026,-0.002,-0.038,Walk
-0.022,-0.002,-0.038,Walk
-0.018,-0.002,-0.038,Walk
-0.014,-0.002,-0.038,Walk
-0.01,-0.002,-0.038,Walk
-0.006,-0.002,-0.038,Walk
-0.002,-0.002,-0.038,Pace
0.002,-0.002,-0.038,Pace
0.006,-0.002,-0.038,Pace
0.01,-0.002,-0.038,Pace
-0.038,0.002,-0.038,Walk
-0.034,0.002,-0.038,Walk
-0.03,0.002,-0.038,Walk
-0.026,0.002,-0.038,Walk
-0.022,0.002,-0.038,Walk
-0.018,0.002,-0.038,Walk
-0.014,0.002,-0.038,Walk
-0.01,0.002,-0.038,Walk
-0.006,0.002,-0.038,Walk
-0.002,0.002,-0.038,Pace
0.002,0.002,-0.038,Pace
0.006,0.002,-0.038,Pace
0.01,0.002,-0.038,Pace
-0.038,0.006,-0.038,Walk
-0.034,0.006,-0.038,Walk
-0.03,0.006,-0.038,Walk
-0.026,0.006,-0.038,Walk
-0.022,0.006,-0.038,Walk
-0.018,0.006,-0.038,Walk
-0.014,0.006,-0.038,Walk
-0.01,0.006,-0.038,Walk
-0.006,0.006,-0.038,Walk
-0.002,0.006,-0.038,Walk
0.002,0.006,-0.038,Pace
0.006,0.006,-0.038,Pace
0.01,0.006,-0.038,Pace
-0.038,0.01,-0.038,Walk
-0.034,0.01,-0.038,Walk
-0.03,0.01,-0.038,Walk
-0.026,0.01,-0.038,Walk
-0.022,0.01,-0.038,Walk
-0.018,0.01,-0.038,Walk
-0.014,0.01,-0.038,Walk
-0.01,0.01,-0.038,Walk
-0.006,0.01,-0.038,Walk
-0.002,0.01,-0.038,Walk
0.002,0.01,-0.038,Pace
0.006,0.01,-0.038,Pace
0.01,0.01,-0.038,Pace
-0.038,-0.038,-0.034,Walk
-0.034,-0.038,-0.034,Walk
-0.03,-0.038,-0.034,Walk
-0.026,-0.038,-0.034,Walk
-0.022,-0.038,-0.034,Walk
-0.018,-0.038,-0.034,Pace
-0.014,-0.038,-0.034,Pace
-0.01,-0.038,-0.034,Pace
-0.006,-0.038,-0.034,Pace
-0.002,-0.038,-0.034,Pace
0.002,-0.038,-0.034,Pace
0.006,-0.038,-0.034,Pace
0.01,-0.038,-0.034,Pace
-0.038,-0.034,-0.034,Walk
-0.034,-0.034,-0.034,Walk
-0.03,-0.034,-0.034,Walk
-0.026,-0.034,-0.034,Walk
-0.022,-0.034,-0.034,Walk
-0.018,-0.034,-0.034,Walk
-0.014,-0.034,-0.034,Pace
-0.01,-0.034,-0.034,Pace
-0.006,-0.034,-0.034,Pace
-0.002,-0.034,-0.034,Pace
0.002,-0.034,-0.034,Pace
0.006,-0.034,-0.034,Pace
0.01,-0.034,-0.034,Pace
-0.038,-0.03,-0.034,Walk
-0.034,-0.03,-0.034,Walk
-0.03,-0.03,-0.034,Walk
-0.026,-0.03,-0.034,Walk
-0.022,-0.03,-0.034,Walk
-0.018,-0.03,-0.034,Walk
-0.014,-0.03,-0.034,Pace
-0.01,-0.03,-0.034,Pace
-0.006,-0.03,-0.034,Pace
-0.002,-0.03,-0.034,Pace
0.002,-0.03,-0.034,Pace
0.006,-0.03,-0.034,Pace
0.01,-0.03,-0.034,Pace
-0.038,-0.026,-0.034,Walk
-0.034,-0.026,-0.034,Walk
-0.03,-0.026,-0.034,Walk
-0.026,-0.026,-0.034,Walk
-0.022,-0.026,-0.034,Walk
-0.018,-0.026,-0.034,Walk
-0.014,-0.026,-0.034,Walk
-0.01,-0.026,-0.034,Pace
-0.006,-0.026,-0.034,Pace
-0.002,-0.026,-0.034,Pace
0.002,-0.026,-0.034,Pace
0.006,-0.026,-0.034,Pace
0.01,-0.026,-0.034,Pace
-0.038,-0.022,-0.034,Walk
-0.034,-0.022,-0.034,Walk
-0.03,-0.022,-0.034,Walk
-0.026,-0.022,-0.034,Walk
-0.022,-0.022,-0.034,Walk
-0.018,-0.022,-0.034,Walk
-0.014,-0.022,-0.034,Walk
-0.01,-0.022,-0.034,Pace
-0.006,-0.022,-0.034,Pace
-0.002,-0.022,-0.034,Pace
0.002,-0.022,-0.034,Pace
0.006,-0.022,-0.034,Pace
0.01,-0.022,-0.034,Pace
-0.038,-0.018,-0.034,Walk
-0.034,-0.018,-0.034,Walk
-0.03,-0.018,-0.034,Walk
-0.026,-0.018,-0.034,Walk
-0.022,-0.018,-0.034,Walk
-0.018,-0.018,-0.034,Walk
-0.014,-0.018,-0.034,Walk
-0.01,-0.018,-0.034,Pace
-0.006,-0.018,-0.034,Pace
-0.002,-0.018,-0.034,Pace
0.002,-0.018,-0.034,Pace
0.006,-0.018,-0.034,Pace
0.01,-0.018,-0.034,Pace
-0.038,-0.014,-0.034,Walk
-0.034,-0.014,-0.034,Walk
-0.03,-0.014,-0.034,Walk
-0.026,-0.014,-0.034,Walk
-0.022,-0.014,-0.034,Walk
-0.018,-0.014,-0.034,Walk
-0.014,-0.014,-0.034,Walk
-0.01,-0.014,-0.034,Walk
-0.006,-0.014,-0.034,Pace
-0.002,-0.014,-0.034,Pace
0.002,-0.014,-0.034,Pace
0.006,-0.014,-0.034,Pace
0.01,-0.014,-0.034,Pace
-0.038,-0.01,-0.034,Walk
-0.034,-0.01,-0.034,Walk
-0.03,-0.01,-0.034,Walk
-0.026,-0.01,-0.034,Walk
-0.022,-0.01,-0.034,Walk
-0.018,-0.01,-0.034,Walk
-0.014,-0.01,-0.034,Walk
-0.01,-0.01,-0.034,Walk
-0.006,-0.01,-0.034,Pace
-0.002,-0.01,-0.034,Pace
0.002,-0.01,-0.034,Pace
0.006,-0.01,-0.034,Pace
0.01,-0.01,-0.034,Pace
-0.038,-0.006,-0.034,Walk
-0.034,-0.006,-0.034,Walk
-0.03,-0.006,-0.034,Walk
-0.026,-0.006,-0.034,Walk
-0.022,-0.006,-0.034,Walk
-0.018,-0.006,-0.034,Walk
-0.014,-0.006,-0.034,Walk
-0.01,-0.006,-0.034,Walk
-0.006,-0.006,-0.034,Walk
-0.002,-0.006,-0.034,Pace
0.002,-0.006,-0.034,Pace
0.006,-0.006,-0.034,Pace
0.01,-0.006,-0.034,Pace
-0.038,-0.002,-0.034,Walk
-0.034,-0.002,-0.034,Walk
-0.03,-0.002,-0.034,Walk
-0.026,-0.002,-0.034,Walk
-0.022,-0.002,-0.034,Walk
-0.018,-0.002,-0.034,Walk
-0.014,-0.002,-0.034,Walk
-0.01,-0.002,-0.034,Walk
-0.006,-0.002,-0.034,Walk
-0.002,-0.002,-0.034,Pace
0.002,-0.002,-0.034,Pace
0.006,-0.002,-0.034,Pace
0.01,-0.002,-0.034,Pace
-0.038,0.002,-0.034,Walk
-0.034,0.002,-0.034,Walk
-0.03,0.002,-0.034,Walk
-0.026,0.002,-0.034,Walk
-0.022,0.002,-0.034,Walk
-0.018,0.002,-0.034,Walk
-0.014,0.002,-0.034,Walk
-0.01,0.002,-0.034,Walk
-0.006,0.002,-0.034,Walk
-0.002,0.002,-0.034,Pace
0.002,0.002,-0.034,Pace
0.006,0.002,-0.034,Pace
0.01,0.002,-0.034,Pace
-0.038,0.006,-0.034,Walk
-0.034,0.006,-0.034,Walk
-0.03,0.006,-0.034,Walk
-0.026,0.006,-0.034,Walk
-0.022,0.006,-0.034,Walk
-0.018,0.006,-0.034,Walk
-0.014,0.006,-0.034,Walk
-0.01,0.006,-0.034,Walk
-0.006,0.006,-0.034,Walk
-0.002,0.006,-0.034,Walk
0.002,0.006,-0.034,Pace
0.006,0.006,-0.034,Pace
0.01,0.006,-0.034,Pace
-0.038,0.01,-0.034,Walk
-0.034,0.01,-0.034,Walk
-0.03,0.01,-0.034,Walk
-0.026,0.01,-0.034,Walk
-0.022,0.01,-0.034,Walk
-0.018,0.01,-0.034,Walk
-0.014,0.01,-0.034,Walk
-0.01,0.01,-0.034,Walk
-0.006,0.01,-0.034,Walk
-0.002,0.01,-0.034,Walk
0.002,0.01,-0.034,Pace
0.006,0.01,-0.034,Pace
0.01,0.01,-0.034,Pace
-0.038,-0.038,-0.03,Walk
-0.034,-0.038,-0.03,Walk
-0.03,-0.038,-0.03,Walk
-0.026,-0.038,-0.03,Walk
-0.022,-0.038,-0.03,Walk
-0.018,-0.038,-0.03,Pace
-0.014,-0.038,-0.03,Pace
-0.01,-0.038,-0.03,Pace
-0.006,-0.038,-0.03,Pace
-0.002,-0.038,-0.03,Pace
0.002,-0.038,-0.03,Pace
0.006,-0.038,-0.03,Pace
0.01,-0.038,-0.03,Pace
-0.038,-0.034,-0.03,Walk
-0.034,-0.034,-0.03,Walk
-0.03,-0.034,-0.03,Walk
-0.026,-0.034,-0.03,Walk
-0.022,-0.034,-0.03,Walk
-0.018,-0.034,-0.03,Walk
-0.014,-0.034,-0.03,Pace
-0.01,-0.034,-0.03,Pace
-0.006,-0.034,-0.03,Pace
-0.002,-0.034,-0.03,Pace
0.002,-0.034,-0.03,Pace
0.006,-0.034,-0.03,Pace
0.01,-0.034,-0.03,Pace
-0.038,-0.03,-0.03,Walk
-0.034,-0.03,-0.03,Walk
-0.03,-0.03,-0.03,Walk
-0.026,-0.03,-0.03,Walk
-0.022,-0.03,-0.03,Walk
-0.018,-0.03,-0.03,Walk
-0.014,-0.03,-0.03,Pace
-0.01,-0.03,-0.03,Pace
-0.006,-0.03,-0.03,Pace
-0.002,-0.03,-0.03,Pace
0.002,-0.03,-0.03,Pace
0.006,-0.03,-0.03,Pace
0.01,-0.03,-0.03,Pace
-0.038,-0.026,-0.03,Walk
-0.034,-0.026,-0.03,Walk
-0.03,-0.026,-0.03,Walk
-0.026,-0.026,-0.03,Walk
-0.022,-0.026,-0.03,Walk
-0.018,-0.026,-0.03,Walk
-0.014,-0.026,-0.03,Walk
-0.01,-0.026,-0.03,Pace
-0.006,-0.026,-0.03,Pace
-0.002,-0.026,-0.03,Pace
0.002,-0.026,-0.03,Pace
0.006,-0.026,-0.03,Pace
0.01,-0.026,-0.03,Pace
-0.038,-0.022,-0.03,Walk
-0.034,-0.022,-0.03,Walk
-0.03,-0.022,-0.03,Walk
-0.026,-0.022,-0.03,Walk
-0.022,-0.022,-0.03,Walk
-0.018,-0.022,-0.03,Walk
-0.014,-0.022,-0.03,Walk
-0.01,-0.022,-0.03,Pace
-0.006,-0.022,-0.03,Pace
-0.002,-0.022,-0.03,Pace
0.002,-0.022,-0.03,Pace
0.006,-0.022,-0.03,Pace
0.01,-0.022,-0.03,Pace
-0.038,-0.018,-0.03,Walk
-0.034,-0.018,-0.03,Walk
-0.03,-0.018,-0.03,Walk
-0.026,-0.018,-0.03,Walk
-0.022,-0.018,-0.03,Walk
-0.018,-0.018,-0.03,Walk
-0.014,-0.018,-0.03,Walk
-0.01,-0.018,-0.03,Pace
-0.006,-0.018,-0.03,Pace
-0.002,-0.018,-0.03,Pace
0.002,-0.018,-0.03,Pace
0.006,-0.018,-0.03,Pace
0.01,-0.018,-0.03,Pace
-0.038,-0.014,-0.03,Walk
-0.034,-0.014,-0.03,Walk
-0.03,-0.014,-0.03,Walk
-0.026,-0.014,-0.03,Walk
-0.022,-0.014,-0.03,Walk
-0.018,-0.014,-0.03,Walk
-0.014,-0.014,-0.03,Walk
-0.01,-0.014,-0.03,Walk
-0.006,-0.014,-0.03,Pace
-0.002,-0.014,-0.03,Pace
0.002,-0.014,-0.03,Pace
0.006,-0.014,-0.03,Pace
0.01,-0.014,-0.03,Pace
-0.038,-0.01,-0.03,Walk
-0.034,-0.01,-0.03,Walk
-0.03,-0.01,-0.03,Walk
-0.026,-0.01,-0.03,Walk
-0.022,-0.01,-0.03,Walk
-0.018,-0.01,-0.03,Walk
-0.014,-0.01,-0.03,Walk
-0.01,-0.01,-0.03,Walk
-0.006,-0.01,-0.03,Pace
-0.002,-0.01,-0.03,Pace
0.002,-0.01,-0.03,Pace
0.006,-0.01,-0.03,Pace
0.01,-0.01,-0.03,Pace
-0.038,-0.006,-0.03,Walk
-0.034,-0.006,-0.03,Walk
-0.03,-0.006,-0.03,Walk
-0.026,-0.006,-0.03,Walk
-0.022,-0.006,-0.03,Walk
-0.018,-0.006,-0.03,Walk
-0.014,-0.006,-0.03,Walk
-0.01,-0.006,-0.03,Walk
-0.006,-0.006,-0.03,Walk
-0.002,-0.006,-0.03,Pace
0.002,-0.006,-0.03,Pace
0.006,-0.006,-0.03,Pace
0.01,-0.006,-0.03,Pace
-0.038,-0.002,-0.03,Walk
-0.034,-0.002,-0.03,Walk
-0.03,-0.002,-0.03,Walk
-0.026,-0.002,-0.03,Walk
-0.022,-0.002,-0.03,Walk
-0.018,-0.002,-0.03,Walk
-0.014,-0.002,-0.03,Walk
-0.01,-0.002,-0.03,Walk
-0.006,-0.002,-0.03,Walk
-0.002,-0.002,-0.03,Pace
0.002,-0.002,-0.03,Pace
0.006,-0.002,-0.03,Pace
0.01,-0.002,-0.03,Pace
-0.038,0.002,-0.03,Walk
-0.034,0.002,-0.03,Walk
-0.03,0.002,-0.03,Walk
-0.026,0.002,-0.03,Walk
-0.022,0.002,-0.03,Walk
-0.018,0.002,-0.03,Walk
-0.014,0.002,-0.03,Walk
-0.01,0.002,-0.03,Walk
-0.006,0.002,-0.03,Walk
-0.002,0.002,-0.03,Pace
0.002,0.002,-0.03,Pace
0.006,0.002,-0.03,Pace
0.01,0.002,-0.03,Pace
-0.038,0.006,-0.03,Walk
-0.034,0.006,-0.03,Walk
-0.03,0.006,-0.03,Walk
-0.026,0.006,-0.03,Walk
-0.022,0.006,-0.03,Walk
-0.018,0.006,-0.03,Walk
-0.014,0.006,-0.03,Walk
-0.01,0.006,-0.03,Walk
-0.006,0.006,-0.03,Walk
-0.002,0.006,-0.03,Walk
0.002,0.006,-0.03,Pace
0.006,0.006,-0.03,Pace
0.01,0.006,-0.03,Pace
-0.038,0.01,-0.03,Walk
-0.034,0.01,-0.03,Walk
-0.03,0.01,-0.03,Walk
-0.026,0.01,-0.03,Walk
-0.022,0.01,-0.03,Walk
-0.018,0.01,-0.03,Walk
-0.014,0.01,-0.03,Walk
-0.01,0.01,-0.03,Walk
-0.006,0.01,-0.03,Walk
-0.002,0.01,-0.03,Walk
0.002,0.01,-0.03,Pace
0.006,0.01,-0.03,Pace
0.01,0.01,-0.03,Pace
-0.038,-0.038,-0.026,Walk
-0.034,-0.038,-0.026,Walk
-0.03,-0.038,-0.026,Walk
-0.026,-0.038,-0.026,Walk
-0.022,-0.038,-0.026,Walk
-0.018,-0.038,-0.026,Pace
-0.014,-0.038,-0.026,Pace
-0.01,-0.038,-0.026,Pace
-0.006,-0.038,-0.026,Pace
-0.002,-0.038,-0.026,Pace
0.002,-0.038,-0.026,Pace
0.006,-0.038,-0.026,Pace
0.01,-0.038,-0.026,Pace
-0.038,-0.034,-0.026,Walk
-0.034,-0.034,-0.026,Walk
-0.03,-0.034,-0.026,Walk
-0.026,-0.034,-0.026,Walk
-0.022,-0.034,-0.026,Walk
-0.018,-0.034,-0.026,Walk
-0.014,-0.034,-0.026,Pace
-0.01,-0.034,-0.026,Pace
-0.006,-0.034,-0.026,Pace
-0.002,-0.034,-0.026,Pace
0.002,-0.034,-0.026,Pace
0.006,-0.034,-0.026,Pace
0.01,-0.034,-0.026,Pace
-0.038,-0.03,-0.026,Walk
-0.034,-0.03,-0.026,Walk
-0.03,-0.03,-0.026,Walk
-0.026,-0.03,-0.026,Walk
-0.022,-0.03,-0.026,Walk
-0.018,-0.03,-0.026,Walk
-0.014,-0.03,-0.026,Pace
-0.01,-0.03,-0.026,Pace
-0.006,-0.03,-0.026,Pace
-0.002,-0.03,-0.026,Pace
0.002,-0.03,-0.026,Pace
0.006,-0.03,-0.026,Pace
0.01,-0.03,-0.026,Pace
-0.038,-0.026,-0.026,Walk
-0.034,-0.026,-0.026,Walk
-0.03,-0.026,-0.026,Walk
-0.026,-0.026,-0.026,Walk
-0.022,-0.026,-0.026,Walk
-0.018,-0.026,-0.026,Walk
-0.014,-0.026,-0.026,Pace
-0.01,-0.026,-0.026,Pace
-0.006,-0.026,-0.026,Pace
-0.002,-0.026,-0.026,Pace
0.002,-0.026,-0.026,Pace
0.006,-0.026,-0.026,Pace
0.01,-0.026,-0.026,Pace
-0.038,-0.022,-0.026,Walk
-0.034,-0.022,-0.026,Walk
-0.03,-0.022,-0.026,Walk
-0.026,-0.022,-0.026,Walk
-0.022,-0.022,-0.026,Walk
-0.018,-0.022,-0.026,Walk
-0.014,-0.022,-0.026,Walk
-0.01,-0.022,-0.026,Pace
-0.006,-0.022,-0.026,Pace
-0.002,-0.022,-0.026,Pace
0.002,-0.022,-0.026,Pace
0.006,-0.022,-0.026,Pace
0.01,-0.022,-0.026,Pace
-0.038,-0.018,-0.026,Walk
-0.034,-0.018,-0.026,Walk
-0.03,-0.018,-0.026,Walk
-0.026,-0.018,-0.026,Walk
-0.022,-0.018,-0.026,Walk
-0.018,-0.018,-0.026,Walk
-0.014,-0.018,-0.026,Walk
-0.01,-0.018,-0.026,Pace
-0.006,-0.018,-0.026,Pace
-0.002,-0.018,-0.026,Pace
0.002,-0.018,-0.026,Pace
0.006,-0.018,-0.026,Pace
0.01,-0.018,-0.026,Pace
-0.038,-0.014,-0.026,Walk
-0.034,-0.014,-0.026,Walk
-0.03,-0.014,-0.026,Walk
-0.026,-0.014,-0.026,Walk
-0.022,-0.014,-0.026,Walk
-0.018,-0.014,-0.026,Walk
-0.014,-0.014,-0.026,Walk
-0.01,-0.014,-0.026,Walk
-0.006,-0.014,-0.026,Pace
-0.002,-0.014,-0.026,Pace
0.002,-0.014,-0.026,Pace
0.006,-0.014,-0.026,Pace
0.01,-0.014,-0.026,Pace
-0.038,-0.01,-0.026,Walk
-0.034,-0.01,-0.026,Walk
-0.03,-0.01,-0.026,Walk
-0.026,-0.01,-0.026,Walk
-0.022,-0.01,-0.026,Walk
-0.018,-0.01,-0.026,Walk
-0.014,-0.01,-0.026,Walk
-0.01,-0.01,-0.026,Walk
-0.006,-0.01,-0.026,Pace
-0.002,-0.01,-0.026,Pace
0.002,-0.01,-0.026,Pace
0.006,-0.01,-0.026,Pace
0.01,-0.01,-0.026,Pace
-0.038,-0.006,-0.026,Walk
-0.034,-0.006,-0.026,Walk
-0.03,-0.006,-0.026,Walk
-0.026,-0.006,-0.026,Walk
-0.022,-0.006,-0.026,Walk
-0.018,-0.006,-0.026,Walk
-0.014,-0.006,-0.026,Walk
-0.01,-0.006,-0.026,Walk
-0.006,-0.006,-0.026,Walk
-0.002,-0.006,-0.026,Pace
0.002,-0.006,-0.026,Pace
0.006,-0.006,-0.026,Pace
0.01,-0.006,-0.026,Pace
-0.038,-0.002,-0.026,Walk
-0.034,-0.002,-0.026,Walk
-0.03,-0.002,-0.026,Walk
-0.026,-0.002,-0.026,Walk
-0.022,-0.002,-0.026,Walk
-0.018,-0.002,-0.026,Walk
-0.014,-0.002,-0.026,Walk
-0.01,-0.002,-0.026,Walk
-0.006,-0.002,-0.026,Walk
-0.002,-0.002,-0.026,Pace
0.002,-0.002,-0.026,Pace
0.006,-0.002,-0.026,Pace
0.01,-0.002,-0.026,Pace
-0.038,0.002,-0.026,Walk
-0.034,0.002,-0.026,Walk
-0.03,0.002,-0.026,Walk
-0.026,0.002,-0.026,Walk
-0.022,0.002,-0.026,Walk
-0.018,0.002,-0.026,Walk
-0.014,0.002,-0.026,Walk
-0.01,0.002,-0.026,Walk
-0.006,0.002,-0.026,Walk
-0.002,0.002,-0.026,Pace
0.002,0.002,-0.026,Pace
0.006,0.002,-0.026,Pace
0.01,0.002,-0.026,Pace
-0.038,0.006,-0.026,Walk
-0.034,0.006,-0.026,Walk
-0.03,0.006,-0.026,Walk
-0.026,0.006,-0.026,Walk
-0.022,0.006,-0.026,Walk
-0.018,0.006,-0.026,Walk
-0.014,0.006,-0.026,Walk
-0.01,0.006,-0.026,Walk
-0.006,0.006,-0.026,Walk
-0.002,0.006,-0.026,Walk
0.002,0.006,-0.026,Pace
0.006,0.006,-0.026,Pace
0.01,0.006,-0.026,Pace
-0.038,0.01,-0.026,Walk
-0.034,0.01,-0.026,Walk
-0.03,0.01,-0.026,Walk
-0.026,0.01,-0.026,Walk
-0.022,0.01,-0.026,Walk
-0.018,0.01,-0.026,Walk
-0.014,0.01,-0.026,Walk
-0.01,0.01,-0.026,Walk
-0.006,0.01,-0.026,Walk
-0.002,0.01,-0.026,Walk
0.002,0.01,-0.026,Pace
0.006,0.01,-0.026,Pace
0.01,0.01,-0.026,Pace
-0.038,-0.038,-0.022,Walk
-0.034,-0.038,-0.022,Walk
-0.03,-0.038,-0.022,Walk
-0.026,-0.038,-0.022,Walk
-0.022,-0.038,-0.022,Walk
-0.018,-0.038,-0.022,Pace
